,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
1279,109,998.8208064580688,0.19331279449178715,0.193541016808907,0.09688461956301343,0.09699873105106971,0.5011791952443938,2008
1280,110,999.9985562483677,0.00022822198762352,0.00022822231711986288,0.00011411132330810288,0.00011411148805627433,0.5000014437516324,2008
1281,111,999.999999997913,3.2949634288974614e-10,3.294963428904338e-10,1.6474817144556072e-10,1.6474817144590454e-10,0.500000000002087,2008
1282,112,1000.0,6.876492978902511e-22,6.876492978902511e-22,3.4382464894512553e-22,3.4382464894512553e-22,0.5,2008
1283,113,1000.0,2.9950249326933246e-45,2.9950249326933246e-45,1.4975124663466623e-45,1.4975124663466623e-45,0.5,2008
1284,114,1000.0,5.681556351936197e-92,5.681556351936197e-92,2.8407781759680984e-92,2.8407781759680984e-92,0.5,2008
1285,115,1000.0,2.04456570319341e-185,2.04456570319341e-185,1.022282851596705e-185,1.022282851596705e-185,0.5,2008
1286,116,1000.0,2.04456570319341e-185,2.04456570319341e-185,1.022282851596705e-185,1.022282851596705e-185,0.5,2008
1287,0,22.467290718881415,2246.7290718881413,100000.0,98876.63546405593,7318071.199769197,73.18071199769197,2009
1288,1,2.151677587739311,210.33352218422704,97753.27092811186,97648.10416701974,7219194.564305141,73.85118161022115,2009
1289,2,1.1324163461196377,110.4592167669971,97542.93740592763,97487.70779754414,7121546.460138122,73.00935003117252,2009
1290,3,0.7500433744761903,73.07858472457586,97432.47818916064,97395.93889679835,7024058.7523405785,72.09155389339162,2009
1291,4,0.5516813418830492,53.711364218703295,97359.39960443607,97332.54392232672,6926662.81344378,71.14529096919549,2009
1292,5,0.43222350735154214,42.05780585644246,97305.68824021737,97284.65933728914,6829330.269521454,70.18428617104038,2009
1293,6,0.35439934989636485,34.47016739449779,97263.63043436092,97246.39535066368,6732045.610184165,69.21441838146619,2009
1294,7,0.3020803308322696,29.37101689998898,97229.16026696643,97214.47475851644,6634799.214833501,68.2387793601841,2009
1295,8,0.26776108703950574,26.026321229608655,97199.78925006645,97186.77608945164,6537584.740074984,67.25924809626596,2009
1296,9,0.24835354346849822,24.13344835554442,97173.76292883683,97161.69620465906,6440397.9639855325,66.27712841275914,2009
1297,10,0.24371660574609014,23.676977946473194,97149.6294804813,97137.79099150805,6343236.267780874,65.29346845378673,2009
1298,11,0.2563773229974627,24.90089169617859,97125.95250253483,97113.50205668673,6246098.4767893655,64.30926354751942,2009
1299,12,0.29200065014114146,28.353570199753417,97101.05161083865,97086.87482573878,6148984.974732678,63.325626990905974,2009
1300,13,0.3502694650783782,34.001602016409514,97072.6980406389,97055.69723963071,6051898.099906939,62.34397747318559,2009
1301,14,0.4887790761229811,47.430484393448324,97038.6964386225,97014.98119642577,5954842.402667309,61.365647120309156,2009
1302,15,0.7185154350895221,69.68972165698644,96991.26595422905,96956.42109340055,5857827.421470882,60.39541152329363,2009
1303,16,0.8907786244949656,86.33566836033448,96921.57623257206,96878.40839839188,5760871.000377482,59.438478245068495,2009
1304,17,1.051224346618352,101.79556249174439,96835.24056421172,96784.34278296586,5663992.59197909,58.49102619023578,2009
1305,18,1.1879156738373637,114.91117550182776,96733.44500171999,96675.98941396907,5567208.249196125,57.55205192058586,2009
1306,19,1.3041893908203726,126.00886677277302,96618.53382621816,96555.52939283178,5470532.259782156,56.619905551678805,2009
1307,20,1.422944980452905,137.30355404226947,96492.52495944539,96423.87318242426,5373976.730389324,55.6931921166737,2009
1308,21,1.5412810212859716,148.51047405395565,96355.22140540312,96280.96616837615,5277552.857206901,54.77184090525022,2009
1309,22,1.6313466999816566,156.94650039394563,96206.71093134917,96128.2376811522,5181271.891038524,53.85561818796359,2009
1310,23,1.6849846363695191,161.84237739307108,96049.76443095523,95968.84324225869,5085143.653357374,52.94280192652422,2009
1311,24,1.7120681638007835,164.16665864091482,95887.92205356216,95805.83872424171,4989174.810115113,52.03131638756551,2009
1312,25,1.729384976996609,165.54322452167492,95723.75539492125,95640.9837826604,4893368.97139087,51.119692820268256,2009
1313,26,1.7521780051729414,167.4349975786234,95558.21217039957,95474.49467161026,4797727.98760821,50.207385410820514,2009
1314,27,1.7833002392089168,170.11039575061608,95390.77717282095,95305.72197494564,4702253.4929366,49.29463447412169,2009
1315,28,1.8298000106234094,174.23477708025143,95220.66677707034,95133.54938853021,4606947.770961655,48.381805409401245,2009
1316,29,1.8898914791475065,179.62744196015416,95046.43199999009,94956.61827901001,4511814.221573126,47.46958014766505,2009
1317,30,1.9558944446882771,185.5494560203793,94866.80455802994,94774.02983001975,4416857.6032941155,46.558515635385696,2009
1318,31,2.025379455850894,191.76546893778777,94681.25510200956,94585.37236754067,4322083.5734640965,45.64877777346197,2009
1319,32,2.1046756103117126,198.86972426152758,94489.48963307177,94390.054770941,4227498.201096556,44.740406763895905,2009
1320,33,2.195125383995988,206.9797332345468,94290.61990881024,94187.13004219296,4133108.146325615,43.833714852259966,2009
1321,34,2.297763709079396,216.18197401352205,94083.6401755757,93975.54918856893,4038921.0162834222,42.92904705585504,2009
